Alloy,N(Ef),DH (eV),Structure,##,##.1,##.2,##.3,##.4,##.5,##.6,##.7,##.8,##.9,##.10,##.11,##.12,##.13,##.14,##.15,Mixing Enthalpy,VEC,Melting Temperature,Pauling Electronegativity,Entropy of Mixing,Radii Difference,Cr,Mo,W,V,Nb,Ta,Ti,Zr,Hf
Mo50W50,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,0.0,6.0,3022.5,2.26,5.762825659175385,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
Mo50Zr50,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-6.0,5.0,2237.5,1.745,5.762825659175385,0.07023411371237465,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
Nb50Ta50,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,0.0,5.0,2747.0,1.55,5.762825659175385,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0
Nb50Ti50,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,2.0,4.5,2072.5,1.57,5.762825659175385,0.0034129692832763903,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0
Nb50Zr50,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,4.0,4.5,2164.5,1.465,5.762825659175385,0.045751633986928164,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0
Ta50Hf50,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,3.0,4.5,2625.0,1.4,5.762825659175385,0.042622950819672156,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0
Ta50Ti50,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,1.0,4.5,2342.5,1.52,5.762825659175385,0.0034129692832763903,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0
Ta50Zr50,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,3.0,4.5,2434.5,1.415,5.762825659175385,0.045751633986928164,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0
V50Nb50,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-1.0,5.0,2193.5,1.615,5.762825659175385,0.042857142857142816,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0
V50Ta50,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-1.0,5.0,2463.5,1.565,5.762825659175385,0.042857142857142816,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0
W50Hf50,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-6.0,5.0,2827.5,1.83,5.762825659175385,0.06711409395973161,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0
W50Nb50,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-8.0,5.5,2949.5,1.98,5.762825659175385,0.024561403508771895,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0
W50Ta50,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-7.0,5.5,3219.5,1.93,5.762825659175385,0.024561403508771895,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0
W50Ti50,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-6.0,5.0,2545.0,1.95,5.762825659175385,0.02797202797202797,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0
W50V50,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-1.0,5.5,2666.0,1.995,5.762825659175385,0.01831501831501825,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0
W50Zr50,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-9.0,5.0,2637.0,1.845,5.762825659175385,0.07023411371237465,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0
Mo33Nb33Ta34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-4.857600000000001,5.33,2708.78,1.7508000000000001,9.133033898159683,0.022906876085618026,0.0,33.0,0.0,0.0,33.0,34.0,0.0,0.0,0.0
Mo33Ta33Hf34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-2.6268000000000002,4.99,2620.42,1.6498000000000002,9.133033898159683,0.05615640599029058,0.0,33.0,0.0,0.0,0.0,33.0,0.0,0.0,34.0
Mo33Ti33Zr34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-4.4352,4.66,2045.71,1.6732,9.133033898159683,0.05836796115228013,0.0,33.0,0.0,0.0,0.0,0.0,33.0,34.0,0.0
Mo33V33Nb34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-3.1416,5.33,2338.07,1.7947,9.133033898159683,0.0353346960940346,0.0,33.0,0.0,33.0,34.0,0.0,0.0,0.0,0.0
Mo33V33Ta34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-2.6928,5.33,2521.67,1.7607,9.133033898159683,0.0353346960940346,0.0,33.0,0.0,33.0,0.0,34.0,0.0,0.0,0.0
Mo33V33Zr34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-4.488,4.99,2125.57,1.7028999999999999,9.133033898159683,0.07831624038598456,0.0,33.0,0.0,33.0,0.0,0.0,0.0,34.0,0.0
Mo33W33Nb34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-6.283200000000001,5.66,2837.03,2.0356,9.133033898159683,0.02345424670428327,0.0,33.0,33.0,0.0,34.0,0.0,0.0,0.0,0.0
Mo33W33Ta34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-5.3856,5.66,3020.63,2.0016,9.133033898159683,0.02345424670428327,0.0,33.0,33.0,0.0,0.0,34.0,0.0,0.0,0.0
Mo33W33Ti34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-4.488,5.32,2561.97,2.0151999999999997,9.133033898159683,0.026740545938079657,0.0,33.0,33.0,0.0,0.0,0.0,34.0,0.0,0.0
Mo33W33Zr34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-6.732,5.32,2624.53,1.9438,9.133033898159683,0.06807091964660397,0.0,33.0,33.0,0.0,0.0,0.0,0.0,34.0,0.0
W33Nb33Ta34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-6.6264,5.33,2972.45,1.8168,9.133033898159683,0.022906876085618026,0.0,0.0,33.0,0.0,33.0,34.0,0.0,0.0,0.0
W33V33Ta34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-4.026000000000001,5.33,2785.34,1.8266999999999998,9.133033898159683,0.0353346960940346,0.0,0.0,33.0,33.0,0.0,34.0,0.0,0.0,0.0
W33V33Zr34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-6.2700000000000005,4.99,2389.24,1.7689,9.133033898159683,0.07831624038598456,0.0,0.0,33.0,33.0,0.0,0.0,0.0,34.0,0.0
Cr33Mo33W34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,0.44880000000000003,6.0,2658.38,2.063,9.133033898159683,0.03820890814821477,33.0,33.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
Cr33Mo33Zr34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-8.0784,5.32,2124.58,1.7128,9.133033898159683,0.09350070294368622,33.0,33.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0
Cr33Ta33Ti34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-5.742000000000001,4.99,2192.04,1.5663999999999998,9.133033898159683,0.06205171371687888,33.0,0.0,0.0,0.0,0.0,33.0,34.0,0.0,0.0
Cr33V33Ta34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-4.461600000000001,5.33,2285.39,1.5957,9.133033898159683,0.05519463934848895,33.0,0.0,0.0,33.0,0.0,34.0,0.0,0.0,0.0
Cr33W33Hf34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-6.2964,5.32,2517.79,1.7686000000000002,9.133033898159683,0.09059213396147947,33.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,34.0
Hf33Cr33Mo34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-5.7156,5.34,2258.02,1.7112,9.133033898159683,0.08995856382224102,33.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
Hf33Mo33W34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-4.4352,5.34,2765.96,1.9442000000000002,9.133033898159683,0.06458965904125694,0.0,33.0,34.0,0.0,0.0,0.0,0.0,0.0,33.0
Mo33Hf33V34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-2.64,5.0,2251.88,1.696,9.133033898159683,0.07500384518044208,0.0,33.0,0.0,34.0,0.0,0.0,0.0,0.0,33.0
Mo33Ta33Ti34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-3.5244000000000004,4.99,2428.32,1.7313999999999998,9.133033898159683,0.024673640936199243,0.0,33.0,0.0,0.0,0.0,33.0,34.0,0.0,0.0
Mo33Ti33Hf34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-3.5376000000000003,4.66,2175.25,1.663,9.133033898159683,0.05555510171857356,0.0,33.0,0.0,0.0,0.0,0.0,33.0,0.0,34.0
Mo33V33Ti34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-2.6928,4.99,2063.01,1.7743,9.133033898159683,0.03835671490476979,0.0,33.0,0.0,33.0,0.0,0.0,34.0,0.0,0.0
Mo33W33Ti34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-4.488,5.32,2561.97,2.0151999999999997,9.133033898159683,0.026740545938079657,0.0,33.0,33.0,0.0,0.0,0.0,34.0,0.0,0.0
Mo33W33V34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-0.44880000000000003,5.66,2644.25,2.0458,9.133033898159683,0.017250865669813487,0.0,33.0,33.0,34.0,0.0,0.0,0.0,0.0,0.0
Nb33Cr33Mo34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-5.742000000000001,5.67,2338.54,1.8101999999999998,9.133033898159683,0.05354997586416663,33.0,34.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0
Nb33Mo33Ta34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-4.857600000000001,5.33,2708.78,1.7508000000000001,9.133033898159683,0.022906876085618026,0.0,33.0,0.0,0.0,33.0,34.0,0.0,0.0,0.0
Nb33Ta33Hf34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,3.1416000000000004,4.66,2572.24,1.465,9.133033898159683,0.04094012782083535,0.0,0.0,0.0,0.0,33.0,33.0,0.0,0.0,34.0
Nb33Ta33Ti34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,1.3464,4.66,2380.14,1.5466000000000002,9.133033898159683,0.0032370423075924674,0.0,0.0,0.0,0.0,33.0,33.0,34.0,0.0,0.0
Nb33W33Ti34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-5.28,4.99,2513.79,1.8304000000000002,9.133033898159683,0.024673640936199243,0.0,0.0,33.0,0.0,33.0,0.0,34.0,0.0,0.0
Nb33Zr33Hf34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,3.5376000000000003,4.33,2187.79,1.4088999999999998,9.133033898159683,0.04100584814656405,0.0,0.0,0.0,0.0,33.0,0.0,0.0,33.0,34.0
Ta33Ti33Hf34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,1.782,4.33,2305.27,1.4451999999999998,9.133033898159683,0.03937164775609722,0.0,0.0,0.0,0.0,0.0,33.0,33.0,0.0,34.0
Ti33Cr33Hf34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-7.0884,4.66,1938.97,1.4980000000000002,9.133033898159683,0.08824425221639556,33.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,34.0
V33Nb33Ta34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-0.8844000000000001,5.0,2473.49,1.5759,9.133033898159683,0.039725095845143554,0.0,0.0,0.0,33.0,33.0,34.0,0.0,0.0,0.0
V33Ta33Ti34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-0.8844000000000001,4.66,2193.03,1.5564999999999998,9.133033898159683,0.04140601227659674,0.0,0.0,0.0,33.0,0.0,33.0,34.0,0.0,0.0
V33Ti33Zr34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-2.6664000000000003,4.33,1810.42,1.4982999999999997,9.133033898159683,0.07231811644404955,0.0,0.0,0.0,33.0,0.0,0.0,33.0,34.0,0.0
V33Zr33Hf34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-2.64,4.33,2000.68,1.4188,9.133033898159683,0.07938773132641448,0.0,0.0,0.0,33.0,0.0,0.0,0.0,33.0,34.0
W33Hf33V34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-3.9600000000000004,5.0,2515.55,1.7619999999999998,9.133033898159683,0.07500384518044208,0.0,0.0,33.0,34.0,0.0,0.0,0.0,0.0,33.0
W33Ti33Zr34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-6.652800000000001,4.66,2309.38,1.7391999999999999,9.133033898159683,0.05836796115228013,0.0,0.0,33.0,0.0,0.0,0.0,33.0,34.0,0.0
W33V33Nb34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-4.474800000000001,5.33,2601.74,1.8607,9.133033898159683,0.0353346960940346,0.0,0.0,33.0,33.0,34.0,0.0,0.0,0.0,0.0
W33V33Ti34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-4.026,4.99,2326.68,1.8402999999999998,9.133033898159683,0.03835671490476979,0.0,0.0,33.0,33.0,0.0,0.0,34.0,0.0,0.0
Zr33Mo33Nb34,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-3.5112000000000005,5.0,2318.93,1.6957,9.133033898159683,0.05859263311172264,0.0,33.0,0.0,0.0,34.0,0.0,0.0,33.0,0.0
Cr22Mo50W28,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,0.24640000000000004,6.0,2689.2,2.106,8.614235838824499,0.033362932632784816,22.0,50.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
Cr22Mo50Zr28,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-6.316800000000001,5.44,2249.6,1.8175999999999999,8.614235838824499,0.08249897459474359,22.0,50.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0
Cr22Ta50Ti28,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-4.2448,4.94,2395.08,1.5463999999999998,8.614235838824499,0.05351973380289494,22.0,0.0,0.0,0.0,0.0,50.0,28.0,0.0,0.0
Cr22V50Ta28,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-3.1648000000000005,5.22,2219.3,1.6001999999999998,8.614235838824499,0.048802973926338256,22.0,0.0,0.0,50.0,0.0,28.0,0.0,0.0,0.0
Cr22W50Ti28,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-4.644800000000001,5.44,2597.58,1.9764,8.614235838824499,0.04805792862575274,22.0,0.0,50.0,0.0,0.0,0.0,28.0,0.0,0.0
Hf22Cr50Mo28,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-4.9456,5.56,2179.2,1.7207999999999999,8.614235838824499,0.0880080432116281,50.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
Hf22Mo50W28,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-3.2384000000000004,5.56,2760.92,2.0268,8.614235838824499,0.057774937732797765,0.0,50.0,28.0,0.0,0.0,0.0,0.0,0.0,22.0
Mo22Hf50V28,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-2.88,4.72,2228.36,1.5816000000000003,8.614235838824499,0.07814564149212046,0.0,22.0,0.0,28.0,0.0,0.0,0.0,0.0,50.0
Mo22Ta50Ti28,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-2.6256000000000004,4.94,2552.6,1.6564,8.614235838824499,0.021263827784903818,0.0,22.0,0.0,0.0,0.0,50.0,28.0,0.0,0.0
Mo22V50Ti28,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-2.1056000000000004,4.94,1999.1,1.7214,8.614235838824499,0.03970953745212937,0.0,22.0,0.0,50.0,0.0,0.0,28.0,0.0,0.0
Mo22W50Ti28,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-4.3456,5.44,2755.1,2.0864000000000003,8.614235838824499,0.025431825908404034,0.0,22.0,50.0,0.0,0.0,0.0,28.0,0.0,0.0
Mo22W50V28,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-0.56,5.72,2822.86,2.1116,8.614235838824499,0.016315366512095555,0.0,22.0,50.0,28.0,0.0,0.0,0.0,0.0,0.0
Nb22Cr50Mo28,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-4.558400000000001,5.78,2232.88,1.7868000000000002,8.614235838824499,0.055216480034025975,50.0,28.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
Nb22Mo50Ta28,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-5.44,5.5,2701.2,1.8519999999999999,8.614235838824499,0.024561403508771895,0.0,50.0,0.0,0.0,22.0,28.0,0.0,0.0,0.0
Nb22Ta50Hf28,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,2.6656000000000004,4.72,2678.68,1.466,8.614235838824499,0.039006853270297764,0.0,0.0,0.0,0.0,22.0,50.0,0.0,0.0,28.0
Nb22Ta50Ti28,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,1.0528000000000002,4.72,2520.48,1.5332,8.614235838824499,0.0030694482254093117,0.0,0.0,0.0,0.0,22.0,50.0,28.0,0.0,0.0
Nb22W50Ti28,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-6.3872,5.22,2722.98,1.9631999999999998,8.614235838824499,0.026588186851931143,0.0,0.0,50.0,0.0,22.0,0.0,28.0,0.0,0.0
Nb22Zr50Hf28,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,2.7456,4.22,2096.18,1.381,8.614235838824499,0.03617596987500796,0.0,0.0,0.0,0.0,22.0,0.0,0.0,50.0,28.0
Ta22Cr50Nb28,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-7.0,5.5,2310.8,1.608,8.614235838824499,0.06569343065693423,50.0,0.0,0.0,0.0,28.0,22.0,0.0,0.0,0.0
Ta22Ti50Hf28,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,1.1792,4.22,2122.98,1.464,8.614235838824499,0.036892161165845504,0.0,0.0,0.0,0.0,0.0,22.0,50.0,0.0,28.0
Ta22Ti50Zr28,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,1.1792,4.22,2016.3,1.4724000000000002,8.614235838824499,0.03980157213259912,0.0,0.0,0.0,0.0,0.0,22.0,50.0,28.0,0.0
Ti22Cr50Hf28,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-8.120000000000001,5.0,1945.7,1.5328,8.614235838824499,0.09606842708222485,50.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,28.0
V22Nb50Ta28,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-0.6864,5.0,2503.46,1.5786000000000002,8.614235838824499,0.03467463478327222,0.0,0.0,0.0,22.0,50.0,28.0,0.0,0.0,0.0
V22Nb50Zr28,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,0.8144,4.72,2177.26,1.531,8.614235838824499,0.06256987805162717,0.0,0.0,0.0,22.0,50.0,0.0,0.0,28.0,0.0
V22Ta50Ti28,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-0.3728,4.72,2395.74,1.5398000000000003,8.614235838824499,0.03576412383591233,0.0,0.0,0.0,22.0,0.0,50.0,28.0,0.0,0.0
V22Ti50Zr28,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-1.8656000000000001,4.22,1772.76,1.501,8.614235838824499,0.061978858952364616,0.0,0.0,0.0,22.0,0.0,0.0,50.0,28.0,0.0
V22Zr50Hf28,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-2.2528,4.22,1971.44,1.3876,8.614235838824499,0.06902692086191332,0.0,0.0,0.0,22.0,0.0,0.0,0.0,50.0,28.0
W22Hf50V28,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-4.0064,4.72,2404.14,1.6256,8.614235838824499,0.07814564149212046,0.0,0.0,22.0,28.0,0.0,0.0,0.0,0.0,50.0
W22Ta50Ti28,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-3.9984000000000006,4.94,2728.38,1.7004,8.614235838824499,0.021263827784903818,0.0,0.0,22.0,0.0,0.0,50.0,28.0,0.0,0.0
W22Ti50Zr28,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-4.857600000000001,4.44,2105.4,1.6616,8.614235838824499,0.05109446665724382,0.0,0.0,22.0,0.0,0.0,0.0,50.0,28.0,0.0
W22V50Nb28,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-2.9712000000000005,5.22,2401.4,1.7822,8.614235838824499,0.03677591878974781,0.0,0.0,22.0,50.0,28.0,0.0,0.0,0.0,0.0
W22V50Ti28,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-3.0384,4.94,2174.88,1.7653999999999999,8.614235838824499,0.03970953745212937,0.0,0.0,22.0,50.0,0.0,0.0,28.0,0.0,0.0
Zr22Mo50Nb28,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-5.0144,5.28,2412.5,1.8206,8.614235838824499,0.056411631066046054,0.0,50.0,0.0,0.0,28.0,0.0,0.0,22.0,0.0
Cr10Mo30V40Hf20,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-2.64,5.2,2188.2,1.726,10.640708033581111,0.07193919455654091,10.0,30.0,0.0,40.0,0.0,0.0,0.0,0.0,20.0
Cr10Nb30Ta40Hf20,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-0.76,4.9,2587.2,1.506,10.640708033581111,0.05515608305176341,10.0,0.0,0.0,0.0,30.0,40.0,0.0,0.0,20.0
Cr10Nb30Ta40Ti20,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-1.72,4.9,2474.2,1.554,10.640708033581111,0.03795620389486072,10.0,0.0,0.0,0.0,30.0,40.0,20.0,0.0,0.0
Cr10V30Nb40Hf20,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-1.7599999999999998,4.9,2201.1,1.555,10.640708033581111,0.07037498708013473,10.0,0.0,0.0,30.0,40.0,0.0,0.0,0.0,20.0
Cr10V30Ta40Hf20,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-2.08,4.9,2417.1,1.515,10.640708033581111,0.07037498708013473,10.0,0.0,0.0,30.0,0.0,40.0,0.0,0.0,20.0
Cr10W30Nb40Ta20,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-7.08,5.4,2811.5,1.8139999999999998,10.640708033581111,0.03974048670934698,10.0,0.0,30.0,0.0,40.0,20.0,0.0,0.0,0.0
Cr10W30Ti40Zr20,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,##,-7.0,4.8,2254.9,1.756,10.640708033581111,0.06390181715865689,10.0,0.0,30.0,0.0,0.0,0.0,40.0,20.0,0.0
